FAMID,AGEFAM,CRNTWG,RETAGE,SPENDING,FINCAP
839,35.7,80052,62,72798,214920
840,67.5,89775,74,64756,586011
841,59.6,87214,69,45762,144374
842,35.8,41834,65,39164,-17579
843,86,0,62,20993,151640
844,54.4,69998,57,60865,1063591
845,33.3,32020,56,30179,226970
846,51.9,50336,60,32872,278021
847,36.9,62758,58,55816,318781
848,31.8,64767,60,62324,164012
849,59.1,49224,66,40736,408391
850,62.9,105731,73,61241,260665
851,66.3,0,58,57472,1034872
852,87.4,0,67,54935,362739
853,84.2,0,71,35331,226468
854,38.8,59539,56,52231,389179
855,59.1,67536,60,39566,742897
856,43.6,90518,72,73896,-179382
857,42.2,31170,56,25736,364966
858,52.3,73957,75,49765,-214438
859,92.3,0,68,32695,-22067
860,88.4,0,70,78201,427234
861,46.2,96020,65,63795,18045
862,44.5,59180,71,46569,-175861
863,86.2,0,63,52443,327114
864,40,51726,59,46351,262612
865,45.8,71015,65,56210,232609
866,55.7,95634,61,70753,1061958
867,39.4,29472,60,25175,193715
868,56.2,73002,69,48242,178647
869,62,0,60,73619,1415406
870,68.5,0,60,23934,376203
871,36.8,37036,58,31348,113385
872,48,81029,56,53687,643147
873,69.3,58160,71,23215,331400
874,32.2,81597,66,77114,-75096
875,43.8,32122,74,27053,-38492
876,72.1,0,65,53651,808647
877,69.8,0,63,60328,994517
878,55.6,56591,68,32328,62264
879,91.4,0,56,48946,102333
880,78.7,0,58,40927,457029
881,54.9,56409,65,35620,278703
882,49.7,113403,68,73149,-47642
883,76.4,0,65,52735,701041
884,81.6,0,68,21405,263957
885,47.2,76561,64,54361,77394
886,86.6,0,60,74572,510212
887,36.9,34756,67,29638,-23239
888,50.1,35442,55,26918,492155
889,83.6,0,70,31613,327350
890,68.5,0,55,31636,550495
891,84.6,0,66,30525,199375
892,42.6,62932,66,54303,69988
893,55.6,112155,62,76167,967268
894,33.6,67683,57,63106,357564
895,79.1,0,67,62547,764775
896,35.4,45135,73,41029,-236412
897,56.8,36762,62,29205,516654
898,53.2,111886,65,66126,279341
899,75.4,0,67,52142,775026
900,77.9,0,59,66798,885963
901,43.6,69218,58,61126,554414
902,76.4,0,73,43178,607052
903,33.4,78514,65,72620,55969
904,35.9,56857,69,52034,-30524
905,78.2,0,65,42847,668850
906,77.4,0,67,31423,440089
907,58.4,108258,67,54948,361844
908,55,91631,64,50193,362022
909,33.1,23782,62,22743,47441
910,49.2,59402,67,40086,-10548
911,43.6,52727,56,40793,360458
912,74.7,0,68,25311,465636
913,37.4,55151,69,47675,-134025
914,41.9,64363,67,57780,79250
915,36.2,51875,65,47339,68247
916,48.8,100554,69,74735,89653
917,87.7,0,61,58786,304136
918,93.6,0,75,39707,107545
919,62.2,47634,72,27957,79736
920,57.5,55989,72,36685,62947
921,46.3,91605,62,61399,143603
922,31.2,22415,71,21376,-67112
923,91.5,0,65,78755,365968
924,81.4,0,74,32388,347956
925,42.7,82440,72,59056,-437771
926,83.1,0,61,26223,301785
927,65.3,0,56,32216,650280
928,40.7,45345,64,41973,212515
929,83.4,0,64,59445,572312
930,40.8,77228,63,60159,36960
931,40.4,87253,66,69850,13815
932,60.9,108483,67,66857,673548
933,90.3,0,61,49565,266453
934,92.5,0,71,70524,198510
935,35.5,39847,71,37186,-158481
936,51.1,62385,73,44926,-45813
937,51,47384,61,42504,454802
938,83.6,0,73,75823,729701
939,90.9,0,67,35590,61058
940,64,0,60,44652,823787
941,50,106404,74,68482,-519731
942,33.9,34283,65,31436,32584
943,71.9,0,66,20980,436906
944,50.8,116003,72,65640,-521108
945,51.3,30801,58,23804,372755
946,43.9,90157,65,76213,258728
947,51.9,71780,71,50244,-5260
948,94.9,0,73,40670,-17394
949,45.6,39949,71,38250,71038
950,88.1,0,65,72970,405659
951,35.5,52037,60,46857,143615
952,40.1,28958,70,26919,39638
953,86,0,56,24475,156022
954,64.1,80622,67,54676,778949
955,83.1,0,58,52369,555097
956,65.3,0,56,78130,1420929
957,64.9,43595,70,33866,334401
958,31,53010,62,51348,101954
959,47.6,44288,62,37576,256956
960,78.5,0,72,45293,644259
961,43.9,25370,57,19961,235422
962,50.4,59146,58,41906,559494
963,79.4,0,65,20399,192166
964,53.6,44043,60,32198,438940
965,40.4,67765,58,57030,373694
966,57.4,35002,64,21642,273807
967,37.7,59355,62,52173,246854
968,81.9,0,68,49915,562176
969,35.2,52221,59,47615,161944
970,63.4,44511,71,27703,145472
971,30.3,61631,72,60684,-231155
972,70.5,0,66,32345,507378
973,35.3,32131,71,29771,-67485
974,83.2,0,58,76857,802824
975,82.4,0,59,57570,654504
976,67.5,0,62,55651,1036208
977,41.1,26866,65,24452,81569
978,36,74139,59,68710,246900
979,65.1,0,58,34454,661702
980,47.5,82079,74,64474,-159865
981,54.8,30030,67,20215,152734
982,90.1,0,61,39188,166649
983,90.4,0,59,48491,243752
984,50.7,63322,56,47172,797903
985,46.4,52830,70,44569,-37833
986,79.5,0,65,54212,624049
987,46.9,84943,74,65282,-234493
988,34.6,65867,66,60178,1593
989,47.5,48617,64,35137,109049
990,80.9,0,67,70254,796636
991,45.4,47259,56,35922,311970
992,49.5,94169,63,69716,482295
993,48.6,47014,73,31896,-204762
994,61.4,60192,72,47745,321323
995,34.4,47942,59,44355,251146
996,45.1,104393,61,76751,407530
997,40.7,70416,70,58983,-105139
998,68.4,0,55,77314,1366052
999,85.7,0,62,43146,409783
1000,63.8,98651,68,58410,708072
1001,86.1,0,65,37138,324208
1002,85.4,0,65,28539,215453
1003,49.7,101667,74,72459,-341035
1004,74.8,0,68,45742,655535
1005,35.1,50217,57,46162,234271
1006,90.1,0,56,35760,153712
1007,82.7,0,61,51225,578494
1008,39,74507,68,61276,-233361
1009,32.6,57741,74,54958,-301862
1010,59.7,142336,66,77376,608760
1011,32.3,35521,56,33504,244029
1012,40.6,47577,63,39138,178529
1013,76.3,0,60,39326,506075
1014,43.9,64937,63,58729,329246
1015,93.6,0,56,37573,-17833
1016,92.8,0,60,68149,167633
1017,95,0,70,49714,137163
1018,40.4,67866,58,52530,296346
1019,31,75335,61,73319,192266
1020,39.2,26941,56,21243,149542
1021,76.4,0,63,69688,1032554
1022,88.6,0,61,52886,198323
1023,60,133079,68,62627,350654
1024,85.4,0,75,67742,495341
1025,83.5,0,60,78308,663577
1026,81.6,0,74,75446,779677
1027,35.5,25639,56,23757,161593
1028,71.7,0,63,26604,449998
1029,47,47940,71,31818,-204070
1030,85.4,0,62,21840,152816
1031,91,0,64,53166,156521
1032,77.4,0,63,24392,291096
1033,93,0,70,55993,23399
1034,78.5,0,59,42605,500819
1035,90.3,0,63,58738,238017
1036,86.2,0,70,56773,428364
1037,61.2,0,60,74175,1493343
1038,75.7,0,60,43136,566573
1039,76.6,0,65,37489,629447
1040,82.3,0,70,54893,592372
1041,55.7,30944,62,25229,289636
1042,55.1,79348,69,55406,143939
1043,53.4,31283,61,21078,215432
1044,75.2,0,65,27980,371818
1045,74.3,0,61,55707,785669
1046,49.6,32847,65,22538,-25297
1047,78.3,0,55,53959,628923
1048,66.6,0,61,24958,450938
1049,91,0,60,56474,212782
1050,61.8,54842,71,34228,210926
1051,57.7,41826,62,28676,415461
1052,31.7,36666,75,35171,-208718
1053,56.2,88260,63,56486,605067
1054,93.2,0,65,42367,130988
1055,68.9,0,66,26007,423528
1056,49,76990,69,55421,-19979
1057,64.9,0,59,31813,585680
1058,31.1,59891,67,58172,-23223
1059,87.9,0,75,56686,365035
1060,80.2,0,69,35831,403625
1061,83.9,0,57,22328,258391
1062,90.3,0,65,38862,146809
1063,63.3,87170,73,49088,233492
1064,70.9,89711,73,42485,488639
1065,81.6,0,74,45000,460583
1066,32.3,23205,70,22095,-207049
1067,67.2,0,62,70044,1265552
1068,88.2,0,63,50202,301132
1069,57.6,109853,62,68092,990086
1070,65.4,0,64,53795,991501
1071,93.1,0,62,25942,114996
1072,93.9,0,61,67448,148475
1073,36.7,60203,58,50033,177682
1074,30.4,60645,71,59323,-193186
1075,65.3,87871,66,54353,935255
1076,78.5,0,62,61815,792060
1077,61.9,0,56,29398,573738
1078,89.2,0,71,76569,439811
1079,46,31702,63,23824,77515
1080,85.9,0,59,47559,309909
1081,52.7,75893,71,54645,86467
1082,41.8,41669,59,34671,259130
1083,37.5,61216,56,56726,485052
1084,78.1,0,64,68177,807386
1085,84.9,0,74,69819,594630
1086,53.8,103910,64,63153,405185
1087,34.5,83919,69,78332,-162639
1088,70.9,0,65,65142,1044050
1089,75.8,0,60,54104,767494
1090,80.1,0,64,55337,671954
1091,76.6,0,72,67799,929335
1092,64.8,0,64,76949,1456484
1093,68.9,64455,70,27852,373179
1094,81.8,0,73,62171,651066
1095,89.6,0,57,25255,221675
1096,62.2,53931,74,39405,224757
1097,82.6,0,70,37337,365900
1098,78.3,0,74,34718,454208
1099,54.4,97849,58,59710,949688
1100,83.6,0,73,77303,641246
1101,41.4,44482,72,36699,-97145
1102,52.4,109405,74,74110,-309249
1103,49.3,74319,69,66811,343987
1104,56.9,116301,72,68575,-74712
1105,41.1,85107,57,71587,550988
1106,30.5,75331,73,73831,-351330
1107,33.6,60325,68,55241,-96388
1108,52.9,49911,66,38672,313947
1109,77.6,0,71,67555,956308
1110,59.9,131675,69,62063,229074
1111,62.4,0,59,30525,576907
1112,56.3,41176,61,21537,295954
1113,78.8,0,65,78681,1039574
1114,63.4,0,58,51867,998030
1115,88.3,0,57,23380,203153
1116,35.5,88492,64,78408,11111
1117,45.2,77255,67,60665,78974
1118,84.4,0,61,38409,259260
1119,43.2,75693,57,63242,571012
1120,86.2,0,56,60932,419357
1121,60.8,0,58,36100,719425
1122,65.6,0,61,33182,577668
1123,54.4,68717,68,52894,262892
1124,33.3,61302,57,58269,272165
1125,38.1,24340,69,20726,-36947
1126,49,70369,60,53431,428639
1127,52.9,39285,56,24265,401197
1128,43.8,55692,75,48834,-123238
1129,80.1,0,66,71994,828921
1130,67.9,41450,73,29473,262968
1131,89.9,0,63,48623,251966
1132,34.7,28552,63,26565,24200
1133,49.3,61942,57,39607,450790
1134,76.4,0,71,58067,739313
1135,32.3,54219,70,50963,-148953
1136,83.1,0,66,52324,476707
1137,36,59328,61,53832,203662
1138,77.5,0,56,22137,340380
1139,40.3,30401,66,25200,-42701
1140,37.1,79766,74,74485,-168777
1141,41.2,80784,58,71648,605309
1142,33.1,46709,75,44185,-220430
1143,85.6,0,73,55679,457942
1144,53.3,97671,60,63093,815616
1145,75.8,0,70,51677,816532
1146,33.9,50543,56,47014,225563
1147,54,35720,72,24521,-22800
1148,89.7,0,60,21049,-2755
1149,49.2,123045,66,74379,-81818
1150,69.9,0,56,72603,1248425
1151,52.3,78836,63,51321,389560
1152,55.2,65478,61,51492,842926
1153,37.6,46112,73,41142,-109646
1154,72.8,0,58,78372,1218195
1155,37.7,68386,56,61542,424664
1156,67.6,53362,68,29169,463525
1157,32,62064,75,58753,-337081
1158,41.2,91086,56,73812,714120
1159,83.1,0,73,33416,258447
1160,79.5,0,74,59219,708441
1161,79,0,57,38136,555359
1162,84.3,0,70,46896,413694
1163,39.5,49166,70,44117,-80493
1164,71.2,0,71,59804,911570
1165,32.9,73451,73,68571,-308457
1166,82.8,0,74,21922,207743
1167,39.5,25620,72,22373,17903
1168,56,44113,70,32949,216333
1169,51.4,86774,61,70397,709316
1170,64.5,0,64,46498,805038
1171,38.5,80470,68,69867,-115253
1172,85.7,0,55,22742,182059
1173,84.8,0,57,53338,432012
1174,93.3,0,55,64444,167576
1175,86.9,0,66,53263,318867
1176,55.3,56963,57,43333,813997
1177,42.7,78528,60,67973,493401
1178,55.6,59101,70,43247,149078
1179,79.7,0,57,63873,718168
1180,87.9,0,59,42260,194586
1181,89.6,0,61,50265,236802
1182,91.1,0,56,54645,210696
1183,45.3,91211,64,73119,306475
1184,45.3,39430,58,35367,348164
1185,52.4,74871,73,47261,-179954
1186,80.4,0,71,24514,238720
1187,78.3,0,72,23025,343049
1188,53.6,36558,56,23075,369395
1189,30.6,71998,73,69888,-285099
1190,72.9,0,57,49231,783800
1191,62.4,0,57,48724,943281
1192,93.9,0,65,65164,68853
1193,56.9,128696,59,70161,1245977
1194,47.2,27329,59,20491,194921
1195,86.7,0,72,37187,318712
1196,32.5,62353,74,59728,-133601
1197,83.1,0,67,22970,208655
1198,77.1,0,63,34553,392062
1199,43.1,65946,73,54703,-146158
1200,51.3,75680,62,68006,764221
1201,30.1,73913,58,72797,229150
1202,65.8,57211,66,44165,871719
1203,63.5,77662,74,67823,537986
1204,73,0,63,44662,749377
1205,41.6,42832,74,36156,-139852
1206,73.3,0,63,53139,810790
1207,74.3,0,67,19477,313111
1208,82.7,0,62,59154,599011
1209,58.2,114709,68,66331,299527
1210,56,46770,67,32302,252285
1211,46,74485,71,61946,-18750
1212,86.3,0,68,30225,199869
1213,56.6,28072,74,23897,70226
1214,30.7,59569,71,57697,-172896
1215,88.9,0,63,43703,305027
1216,91.5,0,66,33353,105755
1217,86.3,0,63,29457,300695
1218,74.9,0,73,20157,297866
1219,37.6,78435,66,70910,76035
1220,64,49196,66,27077,401032
1221,65.2,0,56,75173,1324974
1222,36.9,76197,57,70623,463680
1223,66.8,130298,69,78363,1221379
1224,59.5,0,57,44946,980830
1225,58.2,0,56,70386,1413895
1226,93.4,0,65,58677,-13272
1227,38.2,82314,74,72820,-350698
1228,86.5,0,60,55200,403545
1229,72.6,0,64,74982,1321506
1230,77.9,0,62,55318,722081
1231,62.7,62952,71,53050,584300
1232,68.5,0,66,24587,406515
1233,92.8,0,66,57073,106116
1234,76.5,0,66,40616,561988
1235,67.5,112336,72,65877,585331
1236,35.7,84497,68,73662,-162912
1237,83.9,0,63,75841,676473
1238,59.2,48016,75,25231,-252877
1239,58,44373,60,41111,736092
1240,33.5,21835,60,20432,129959
1241,64,0,57,53396,927693
1242,87.2,0,61,76203,477363
1243,46.6,45249,56,34228,474639
1244,86.8,0,63,26055,225288
1245,43.7,84058,68,64266,-55902
1246,67.7,51736,75,32484,250984
1247,56.6,72792,68,61185,489998
1248,48.8,72350,69,55284,56166
1249,63.8,65031,72,40153,258950
1250,55.2,80099,57,50876,940006
1251,81.1,0,62,30221,287157
1252,84.1,0,70,35397,380476
1253,39.8,44247,59,35829,83801
1254,57.9,73341,58,41681,953680
1255,92.9,0,63,77781,180887
1256,80.8,0,69,48808,528953
1257,59.4,80601,73,52204,44640
1258,35.4,62136,72,57158,-137071
1259,83.3,0,66,51707,467233
1260,87.7,0,56,33042,199885
1261,53.4,83060,73,74767,327188
1262,68.4,0,65,35047,628451
1263,38.6,74050,62,62543,120134
1264,63.9,118943,66,63650,989857
1265,75.6,0,57,68130,973010
1266,44.1,63864,70,48459,-261468
1267,86.4,0,73,50906,331232
1268,46,44538,68,36740,120546
1269,61.8,0,59,27584,498718
1270,67.9,0,66,34371,701178
1271,31,67779,67,66269,-48828
1272,71.3,65433,74,34899,449298
1273,55.8,84588,63,65774,918951
1274,79.1,0,62,55311,658293
1275,83.3,0,56,66173,633709
1276,89.3,0,74,65566,336020
1277,34.8,78679,61,73700,253186
1278,37.6,41428,64,36962,39787
1279,34.7,72711,58,67486,297170
1280,39.5,40680,65,36820,-35920
1281,68,37432,73,23458,168859
1282,88.7,0,60,60360,216030
1283,66.8,136337,74,77391,542027
1284,50,64902,63,49051,395994
1285,36.9,74684,58,67176,316413
1286,91.4,0,61,68797,273535
1287,48.5,95080,55,71074,1060972
1288,32,27055,59,26089,180091
1289,35.5,22247,66,21213,15544
1290,85.1,0,63,21843,156032
1291,73.3,0,63,65800,963904
1292,61.7,88926,67,56058,637828
1293,76.5,0,58,39512,563250
1294,94.9,0,62,54876,64376
1295,81.3,0,60,59608,663774
1296,49.5,41342,72,32348,-37425
1297,43.2,89044,61,72839,327917
1298,35,48765,66,44740,-75148
1299,88.7,0,75,61441,310535
1300,64.8,45950,65,25293,446151
1301,62.1,96202,69,54203,471099
1302,70.5,0,68,52639,845419
1303,33.8,79395,71,73545,-207879
1304,80.8,0,67,72794,830914
1305,84.2,0,73,38794,355048
1306,54,57494,73,30230,-182622
1307,65.7,118009,69,65521,858620
1308,54.8,128406,59,74783,1092858
1309,38.1,62196,58,49001,217981
1310,52.6,134025,71,73749,-551173
1311,73.9,0,58,65750,873988
1312,59.9,71424,60,43081,886516
1313,52.3,85439,55,69664,1325538
1314,62.6,111948,72,76971,520640
1315,68,0,66,21637,405834
1316,47.7,41356,62,35655,215738
1317,56.9,46705,71,28099,64614
1318,57.6,117819,73,77302,-78860
1319,84.4,0,59,26153,205094
1320,44.6,68343,62,52338,283326
1321,31.5,53689,74,50958,-204141
1322,33.7,74939,63,68770,214557
1323,55.2,76436,65,57838,576025
1324,78.8,0,63,61502,757179
1325,43,26174,72,21599,47301
1326,49.9,44961,67,27224,-138928
1327,69.9,0,60,47358,750606
1328,30.2,76907,75,75558,-347353
1329,52.8,42961,66,29225,142618
1330,75.2,0,56,36783,476269
1331,80.6,0,67,45676,471560
1332,58.9,86026,69,59138,375494
1333,58,126293,66,61138,354248
1334,42.7,68967,60,61607,455770
1335,67.5,0,59,66531,1079082
1336,43.9,87429,63,68919,141752
1337,45.9,62711,69,49822,-44455
1338,79.3,0,66,33761,497402
1339,72.7,0,66,74072,1090270
1340,85.7,0,70,20710,187968
1341,48.3,22197,68,19907,115360
1342,59.5,54110,73,37728,110748
1343,40.4,85068,64,77813,390180
1344,90,0,62,33066,176901
1345,71.9,0,64,21612,321457
1346,58.9,101687,69,54224,135342
1347,61.3,52820,69,33612,311613
1348,57.8,90614,68,59624,314252
1349,31.5,52387,65,50520,53193
1350,78,0,61,30468,309961
1351,40.6,98044,58,74433,402164
1352,36.8,54636,68,45902,-75445
1353,88.4,0,70,70946,383364
1354,43.1,36635,67,33087,105087
1355,67,0,63,55931,973148
1356,39,28728,58,24975,120945
1357,46.5,93976,56,69285,754291
1358,33.7,48597,75,44809,-180495
1359,56.1,48005,68,29456,187039
1360,37.9,82035,68,69271,-164924
1361,68.8,0,67,48822,821392
1362,31.9,32170,59,30431,190418
1363,72.6,0,65,38439,549975
1364,80.6,0,70,52101,649553
1365,74.7,0,72,62662,893966
1366,48.4,27871,59,19720,186901
1367,43.7,76927,71,59671,-216052
1368,61.9,31530,66,19711,218880
1369,75.8,0,73,73233,1094671
1370,87.6,0,71,30396,251863
1371,63.9,81225,67,58395,953181
1372,46.8,65481,64,56726,355192
1373,63.2,0,57,42280,779372
1374,56.8,74024,67,46844,274380
1375,50.5,135824,70,77593,-396385
1376,74,0,72,27183,339349
1377,60.1,135096,67,76463,645256
1378,33.5,53010,57,50667,252629
1379,45.1,74534,58,58909,460458
1380,60.8,58790,65,28529,281111
1381,53.7,61077,63,39253,248742
1382,30,63957,58,62660,219095
1383,80,0,61,46329,504030
1384,47.9,68813,58,49042,467135
1385,67.8,0,57,60290,1087329
1386,91,0,67,34125,73663
1387,63.3,66479,67,39797,473958
1388,67.4,0,66,71619,1243579
1389,48.9,80476,61,57112,414675
1390,65.9,0,61,23099,488778
1391,94.2,0,64,32331,31009
1392,34.7,75702,64,66795,-13538
1393,33.8,38739,67,36102,-69181
1394,44.9,58775,74,39503,-430215
1395,44.7,41389,60,31204,130426
1396,89.1,0,56,75578,423022
1397,60.7,55105,63,47698,695860
1398,68.7,0,60,34213,609994
1399,35.3,83014,57,75093,487366
1400,47.8,39199,73,39455,221689
1401,46.7,106390,62,75869,385410
1402,48.9,58023,59,43414,469324
1403,33.4,68645,71,65288,-169281
1404,85.3,0,65,41044,353468
1405,52.1,65042,58,46609,588434
1406,75.1,0,67,36598,513021
1407,51.8,24755,56,21652,431389
1408,80.4,0,73,55039,644859
1409,41.6,28900,73,24210,-109264
1410,94.1,0,68,46963,-116775
1411,70.9,0,67,23980,303381
1412,74.8,0,74,49159,691923
1413,81.8,0,57,21452,181278
1414,73.1,78419,74,47469,708599
1415,66.9,79152,75,71948,822222
1416,63.7,0,60,72252,1425153
1417,76.4,0,63,62570,854985
1418,92.2,0,68,61452,241444
1419,50.7,72181,64,50080,315054
1420,56.7,38368,74,21675,-100928
1421,45.3,93179,68,77220,84437
1422,81.2,0,66,25168,309182
1423,62,124306,70,75068,477756
1424,32.6,68874,75,64329,-413841
1425,44.7,72401,71,53769,-232114
1426,42,63831,72,61556,-46282
1427,84.6,0,63,75524,644957
1428,62,114649,65,71456,1047599
1429,51.9,50493,68,30983,53713
1430,37.9,70654,66,62923,55071
1431,57.7,121843,61,74418,1072173
1432,94.6,0,63,40117,-10769
1433,47.9,99358,72,77802,-103803
1434,35.8,49952,58,44700,233403
1435,71.6,41785,73,22062,265041
1436,50.7,72109,64,48276,203849
1437,49.1,30160,71,23880,-54135
1438,76.3,0,71,47593,553612
1439,53.8,82349,73,67438,91227
1440,33.6,61284,69,56104,-113219
1441,94.3,0,72,41215,68339
1442,66.2,53157,72,28101,191281
1443,91.8,0,74,77228,196339
1444,31.7,31029,58,29519,88155
1445,59.7,51299,71,26724,-13267
1446,49.8,72529,68,46955,69180
1447,38.7,49507,65,44553,9046
1448,57.9,58685,73,36518,53553
1449,61.5,0,60,24796,485696
1450,94.4,0,70,73559,22175
1451,89.9,0,58,29448,199847
1452,36.9,81108,71,71461,-324817
1453,44.6,42045,71,35635,-47325
1454,74,100644,74,62160,993154
1455,44.1,97960,57,74386,710353
1456,49.2,46299,70,37040,-41706
1457,90.9,0,70,60748,64035
1458,39.2,39026,75,35824,-99540
1459,32.8,55338,68,52249,-19612
1460,92.2,0,68,72320,138236
1461,47.2,43665,58,38283,419684
1462,72.7,0,59,68079,921276
1463,30.5,25427,60,24806,10921
1464,78.7,0,74,45533,502460
1465,53.5,85394,68,56939,138690
1466,58.5,0,58,30696,622626
1467,57.6,63517,67,44090,394293
1468,77.5,0,65,45759,515679
1469,48,77346,60,54113,415981
1470,33,21705,58,20351,41806
1471,34.8,41593,55,37729,273434
1472,77.8,0,74,59041,789479
1473,49.4,78669,56,61080,877025
1474,77.6,0,61,37998,542277
1475,51.5,74740,64,53765,343886
1476,84.2,0,57,58630,583451
1477,64.6,204590,74,77860,-276003
1478,67.2,109298,73,68713,597905
1479,36.9,71190,69,61097,-165339
1480,77.4,0,75,28377,355013
1481,73.5,0,59,62911,928833
1482,62.4,0,58,53379,1001409
1483,84.6,0,74,64574,476401
1484,48.4,80858,73,65953,-45430
1485,42.9,55991,62,49565,226479
1486,30.2,45815,69,45153,-118121
1487,89.2,0,57,75447,426642
1488,88.2,0,62,76326,414201
1489,61.5,45946,67,21303,156789
1490,39.4,33196,68,30373,120653
1491,42.9,45799,57,37550,298662
1492,37.8,53625,66,50192,157169
1493,66.8,0,63,62982,1130948
1494,68.7,0,59,20612,250847
1495,67.6,94001,68,64224,1100073
1496,49,31473,73,24206,-54614
1497,91.3,0,73,43395,148702
1498,84.1,0,61,39162,358089
1499,31.7,52429,62,50493,72773
1500,54.4,69625,62,43470,379988
1501,56.1,61321,67,49279,427510
1502,61.5,82429,66,51315,615779
1503,56,56313,69,40846,250894
1504,53,95098,70,68988,106247
1505,94.4,0,59,20931,-36968
1506,75.7,0,58,28571,338403
1507,85.1,0,66,29205,177594
1508,71,67847,75,34030,324363
1509,56.6,27106,60,19793,322284
1510,67.2,0,61,71130,1252249
1511,53.8,65604,58,51832,851478
1512,32.5,46407,64,44002,-50971
1513,46,72464,71,55186,-79833
1514,70.2,0,67,30828,557961
1515,30.7,68969,66,67087,-10853
1516,44.6,97301,64,78686,286580
1517,73.8,0,59,37384,521583
1518,71.5,133749,72,68022,968406
1519,77,0,62,47381,628525
1520,47.9,68384,62,54932,438635
1521,71,0,65,62853,1059895
1522,68.6,0,59,66605,1129375
1523,82.2,0,69,52225,513593
1524,58.9,41907,62,27251,403387
1525,82.4,0,75,61276,620663
1526,40.7,72062,58,62724,500933
1527,78.6,0,71,53983,581577
1528,72.8,131442,73,70130,1007138
1529,36.2,54331,57,48997,319742
1530,72.7,0,58,23226,365711
1531,48.7,70142,63,56645,367228
1532,43.2,54832,57,48614,506796
1533,56,65474,71,49206,126793
1534,66.6,54665,70,51363,710272
1535,85.8,0,74,25648,266324
1536,82.8,0,61,45766,450681
1537,63.8,0,62,20980,396987
1538,81.5,0,69,32677,313183
1539,94.1,0,72,47276,31891
1540,57.2,82647,69,63374,462972
1541,44.9,44859,59,36378,291677
1542,31.7,75944,58,72564,222762
1543,56.3,111609,67,67854,313096
1544,35.1,77816,57,68521,337216
1545,80.7,0,59,47812,480362
1546,54.1,105279,56,77228,1530270
1547,41.7,69915,75,57646,-334072
1548,44.5,83785,72,69779,-162416
1549,89.2,0,59,30507,147992
1550,67.3,56211,71,35469,479849
1551,76.4,0,56,63923,940201
1552,89.8,0,74,32293,155189
1553,71.8,0,59,62076,901414
1554,88.3,0,72,49186,276520
1555,39.6,43025,55,38788,349461
1556,33.5,37458,60,35321,152462
1557,77.6,0,58,22092,342956
1558,76.2,0,75,44632,504853
1559,38.2,81616,60,74220,468869
1560,85.7,0,66,61974,434541
1561,82.4,0,59,64131,598559
1562,57,76253,57,47235,898118
1563,35.9,88261,66,75312,-182637
1564,56,62418,69,40069,151625
1565,32.1,72883,62,68998,116449
1566,85.7,0,70,42721,435648
1567,46.8,102996,75,77010,-542185
1568,81.9,0,56,66005,654545
1569,94.2,0,60,35734,283
1570,69.2,43179,73,30626,332445
1571,38.6,54906,64,48707,146412
1572,72.2,0,69,79066,1309510
1573,37.8,66320,69,59794,-107993
1574,50.2,41647,61,33275,380607
1575,40.8,30186,66,27055,132272
1576,85.6,0,75,62465,565367
1577,42,53698,66,41462,69871
1578,32.9,31938,74,29735,-120650
1579,92,0,62,55751,135150
1580,85.1,0,57,37523,295355
1581,39,48624,72,43241,-120964
1582,94.9,0,72,45311,-6097
1583,48.8,67025,60,46165,404784
1584,48.6,90098,58,74171,855238
1585,58.3,0,57,62976,1317332
1586,49.8,35580,72,23605,-154797
1587,64.1,0,58,50147,996563
1588,36.4,41619,59,36070,236911
1589,52.3,41567,64,37873,392646
1590,74.2,0,60,20275,301803
1591,79.9,0,69,74098,818179
1592,37.5,23986,64,20041,12724
1593,58.3,110105,74,56585,-213888
1594,67.2,0,65,26632,506323
1595,85.5,0,57,49531,443322
1596,62.4,153908,64,76058,1236867
1597,91.2,0,58,27472,137481
1598,54.8,66438,70,50091,195732
1599,52.9,89825,60,52860,562840
1600,65.1,41463,73,28218,136213
1601,57.7,0,56,63038,1334665
1602,76.2,0,56,37155,555441
1603,73.4,33566,75,25353,350832
1604,73.6,0,59,65942,948689
1605,36.7,32953,73,28280,-95846
1606,41.9,32036,72,26710,15938
1607,59.2,0,59,67286,1361491
1608,85.5,0,72,65726,468531
1609,32.3,40220,66,38277,-37947
1610,51.1,63668,72,43649,-141512
1611,30,38028,58,37336,72909
1612,42.5,97663,62,75864,153666
1613,84.6,0,60,44292,384197
1614,64.7,0,56,63643,1183836
1615,65.9,88140,67,50332,865633
1616,33.1,56920,57,52217,315208
1617,60,62605,72,39465,151639
1618,92.3,0,73,58308,107433
1619,83.4,0,73,77750,678515
1620,75.3,0,57,58461,850297
1621,42,72431,68,59160,-47979
1622,49.1,28878,70,23019,19944
1623,34.9,33300,66,30472,-76036
1624,34.9,73049,72,66026,-224783
1625,49.1,103920,66,69465,149245
1626,38.1,43087,61,35982,151212
1627,49.3,80783,63,56221,262037
1628,52.4,96002,67,73471,275070
1629,87.5,0,72,34453,211263
1630,64,38912,68,24536,282466
1631,33.3,26520,55,24678,73416
1632,56.8,108456,72,59441,-228042
1633,65.6,0,65,30216,523421
1634,61.3,0,57,58381,1130973
1635,77,0,59,41109,642717
1636,55.9,88074,73,57946,-107770
1637,53.6,47888,68,30715,43127
1638,94.8,0,74,29918,-36649
1639,38.9,59019,72,57440,-59725
